ancestor_celltype	node_celltype	n_clones	clone_nrs	clones
GC_B_cells_SI-PP-nonINF	PCs_SILP-INF	2	1, 8	4252_1, 6111_1
PCs_SILP-INF	GC_B_cells_SI-PP-nonINF	2	1, 3	1854_1, 4252_1
PCs_SILP-nonINF	GC_B_cells_SI-PP-nonINF	2	1, 10	2197_1, 4252_1
PCs_SILP-nonINF	PCs_SILP-INF	2	1, 3	1854_1, 4252_1
GC_B_cells_SI-PP-nonINF	GC_B_cells_SI-MILF-nonINF	1	1	4252_1
GC_B_cells_SI-PP-nonINF	Memory_Bcells_SI-MILF-nonINF	1	2	2654_1
GC_B_cells_SI-PP-nonINF	PCs_SILP-nonINF	1	1	4252_1
Memory_Bcells_SI-MILF-nonINF	GC_B_cells_SI-PP-nonINF	1	2	2654_1
PCs_SILP-INF	GC_B_cells_SI-MILF-nonINF	1	1	4252_1
PCs_SILP-INF	Memory_Bcells_SI-MILF-nonINF	1	3	1854_1
PCs_SILP-INF	PCs_SI-PP-nonINF	1	1	4252_1
PCs_SILP-INF	PCs_SILP-nonINF	1	1	4252_1
PCs_SILP-nonINF	GC_B_cells_SI-MILF-nonINF	1	1	4252_1
PCs_SILP-nonINF	PCs_SI-PP-nonINF	1	1	4252_1
